Athlete,Nat,Gold,Silver,Bronze,Total
Robert Charpentier,FRA,3,0,0,3
Vyacheslav Yekimov,RUS URS,3,0,0,3
Paul Masson,FRA,3,0,0,3
Rechelle Hawkes,AUS,3,0,0,3
Richard Allen,IND,3,0,0,3
Dhyan Chand,IND,3,0,0,3
Ranganathan Francis,IND,3,0,0,3
"Balbir Singh, Sr.",IND,3,0,0,3
Randhir Singh Gentle,IND UGA,3,0,0,3
Aleksandra Zabelina,RUS URS,3,0,0,3
Jéhan de Buhan,FRA,3,0,0,3
Csaba Fenyvesi,HUN,3,0,0,3
László Rajcsányi,HUN,3,0,0,3
Viktor Zhdanovich,RUS URS,3,0,0,3
Alberto Braglia,ITA,3,0,0,3
Luigi Maiocco,ITA,3,0,0,3
Sergey Kharkov,RUS URS,3,0,0,3
Daniel Norling,SWE,3,0,0,3
Tadahiro Nomura,JPN,3,0,0,3
Pertti Karppinen,FIN,3,0,0,3
Siegfried Brietzke,GDR,3,0,0,3
Agostino Abbagnale,ITA,3,0,0,3
Liliana Gafencu,ROU,3,0,0,3
Vyacheslav Ivanov,RUS URS,3,0,0,3
Paul Costello,USA,3,0,0,3
"Jack Kelly, Sr.",USA,3,0,0,3
Karl Frederick,USA,3,0,0,3
Joe Jackson,USA,3,0,0,3
Ollie Schriver,USA,3,0,0,3
John Jarvis,GBR,3,0,0,3
Barbara Krause,GDR,3,0,0,3
Rica Reinisch,GDR,3,0,0,3
Ulrike Richter,GDR,3,0,0,3
Olga Brusnikina,RUS,3,0,0,3
Mariya Kiselyova,RUS,3,0,0,3
Yevgeny Sadovy,RUS EUN,3,0,0,3
Melissa Belote,USA,3,0,0,3
Brooke Bennett,USA,3,0,0,3
Ethelda Bleibtrey,USA,3,0,0,3
Tracy Caulkins,USA,3,0,0,3
Nicole Haislett,USA,3,0,0,3
Helene Madison,USA,3,0,0,3
Debbie Meyer,USA,3,0,0,3
Sandy Neilson,USA,3,0,0,3
Martha Norelius,USA,3,0,0,3
Carrie Steinseifer,USA,3,0,0,3
Ashley Tappin,USA,3,0,0,3
Mike Burton,USA,3,0,0,3
Rick Carey,USA,3,0,0,3
Steve Clark,USA,3,0,0,3
Rowdy Gaines,USA,3,0,0,3
Norman Ross,USA,3,0,0,3
Regla Bell,CUB,3,0,0,3
Marlenis Costa,CUB,3,0,0,3
Mireya Luis,CUB,3,0,0,3
Regla Torres,CUB,3,0,0,3
Karch Kiraly,USA,3,0,0,3
Charles Smith,GBR,3,0,0,3
Tibor Benedek,HUN,3,0,0,3
Tamás Kásás,HUN,3,0,0,3
Akakios Kakiasvili,GEO GRE EUN,3,0,0,3
Halil Mutlu,TUR,3,0,0,3
Naim Süleymanoğlu,TUR,3,0,0,3
Buvaysar Saytiyev,RUS,3,0,0,3
Ivar Johansson,SWE,3,0,0,3
Carl Westergren,SWE,3,0,0,3
Aliaksandr Miadved,BLR URS,3,0,0,3
Marie-José Pérec,FRA,3,0,0,3
Peter Snell,NZL,3,0,0,3
Eric Lemming,SWE,3,0,0,3
Tatyana Kazankina,RUS URS,3,0,0,3
Gail Devers,USA,3,0,0,3
Glenn Davis,USA,3,0,0,3
Archie Hahn,USA,3,0,0,3
Bud Houser,USA,3,0,0,3
Bobby Joe Morrow,USA,3,0,0,3
Frank Wykoff,USA,3,0,0,3
Klavdiya Boyarskikh,RUS URS,3,0,0,3
Sonja Henie,NOR,3,0,0,3
Irina Rodnina,RUS URS,3,0,0,3
Yvonne van Gennip,NED,3,0,0,3
Yun Mi-Jin,KOR,3,0,0,3
Hjalmar Andersen,NOR,3,0,0,3
Vitaly Davydov,RUS URS,3,0,0,3
Anatoly Firsov,RUS URS,3,0,0,3
Thorleif Haug,NOR,3,0,0,3
Andrey Khomutov,RUS URS EUN,3,0,0,3
Jean-Claude Killy,FRA,3,0,0,3
Kim Gi-Hun,KOR,3,0,0,3
Viktor Kuzkin,RUS URS,3,0,0,3
Katie Smith,USA,3,0,0,3
Tony Estanguet,FRA,3,0,0,3
Botond Storcz,HUN,3,0,0,3
Misty May-Treanor,USA,3,0,0,3
Péter Biros,HUN,3,0,0,3
Gergő Kiss,HUN,3,0,0,3
Tamás Molnár,HUN,3,0,0,3
Zoltán Szécsi,HUN,3,0,0,3
Aleksandr Ragulin,RUS URS,3,0,0,3
Toni Sailer,AUT,3,0,0,3
Ulrich Wehling,GDR,3,0,0,3
Marianne Timmer,NED,3,0,0,3
Michael Greis,GER,3,0,0,3
Cherie Piper,CAN,3,0,0,3
Colleen Sostorics,CAN,3,0,0,3
Kim St-Pierre,CAN,3,0,0,3
Shannon Boxx,USA,3,0,0,3
Heather Mitts,USA,3,0,0,3
Heather O'Reilly,USA,3,0,0,3
Jodie Henry,AUS,3,0,0,3
Kristin Armstrong,USA,3,0,0,3
Andy Triggs Hodge,GBR,3,0,0,3
Ma Lin,CHN,3,0,0,3
Mariya Gromova,RUS,3,0,0,3
Elvira Khasyanova,RUS,3,0,0,3
Shaun White,USA,3,0,0,3
Jin Seon-Yu,KOR,3,0,0,3
Gillian Apps,CAN,3,0,0,3
Charlie Labonté,CAN,3,0,0,3
Seimone Augustus,USA,3,0,0,3
Steph Rice,AUS,3,0,0,3
Pete Reed,GBR,3,0,0,3
Hamish Bond,NZL,3,0,0,3
Anita Włodarczyk,POL,3,0,0,3
Vincent Hancock,USA,3,0,0,3
Elle Logan,USA,3,0,0,3
Felix Loch,GER,3,0,0,3
Zhou Yang,CHN,3,0,0,3
Aleksandra Patskevich,ROC RUS,3,0,0,3
Alla Shishkina,ROC RUS,3,0,0,3
Kevin Durant,USA,3,0,0,3
Tianna Madison-Bartoletta,USA,3,0,0,3
Gabby Douglas,USA,3,0,0,3
Tina Charles,USA,3,0,0,3
Melissa Seidemann,USA,3,0,0,3
Maggie Steffens,USA,3,0,0,3
Ester Ledecká,CZE,3,0,0,3
Svetlana Kolesnichenko,ROC RUS,3,0,0,3
Max Rendschmidt,GER,3,0,0,3
Blake Pieroni,USA,3,0,0,3
Kjeld Nuis,NED,3,0,0,3
An San,KOR,3,0,0,3
Mikhail Voronin,RUS URS,2,6,1,9
Shirley Babashoff,USA,2,6,0,8
Gustavo Marzi,ITA,2,5,0,7
